iter	RMSE
0	2.62763358
1	2.579615964
2	2.521026468
3	2.473043374
4	2.426311736
5	2.404128914
6	2.358934032
7	2.324956214
8	2.292572857
9	2.254726388
10	2.215429577
11	2.183486428
12	2.143505485
13	2.115163798
14	2.097049762
15	2.06768216
16	2.041951367
17	2.011638319
18	1.982210004
19	1.95981291
20	1.926247515
21	1.892724957
22	1.872618703
23	1.845972306
24	1.823418844
25	1.808748566
26	1.784026456
27	1.770324036
28	1.74767347
29	1.724667167
30	1.716964839
31	1.699992534
32	1.691819942
33	1.676478443
34	1.660253733
35	1.640146866
36	1.617455981
37	1.603982422
38	1.587827546
39	1.572688556
40	1.548576553
41	1.53268666
42	1.51909291
43	1.508432999
44	1.487608604
45	1.476461626
46	1.46193332
47	1.446881778
48	1.436789282
49	1.425514849
50	1.412462015
51	1.404198412
52	1.388863858
53	1.37141395
54	1.365690357
55	1.349532805
56	1.335663873
57	1.318219425
58	1.306719194
59	1.296343848
60	1.289300115
61	1.27375742
62	1.270502364
63	1.259891511
64	1.250369262
65	1.244998267
66	1.237772738
67	1.22228083
68	1.216026293
69	1.20916964
70	1.19254653
71	1.18526522
72	1.175991965
73	1.163616762
74	1.150999316
75	1.131675356
76	1.122372765
77	1.115572572
78	1.106026116
79	1.10102903
80	1.084297148
81	1.069692296
82	1.060149627
83	1.051659937
84	1.035771956
85	1.031122283
86	1.020110029
87	1.0140821
88	0.9984973918
89	0.9857472002
90	0.9792564912
91	0.975767978
92	0.9603483208
93	0.9548076135
94	0.94226341
95	0.9325049492
96	0.9271171316
97	0.9178958371
98	0.9061369764
99	0.8928070979
